Equipment Number,Vessel,Voyage,WONumber/ReferenceNumber,,BOLNumber,Equipment Number
TCLU7311532,YM ESSENCE,47,CHI1150189-CHI7810764,,LIVU43267500,TCLU7311532
NYKU4417795,MOL MAESTRO,47,CHI1150192-CHI7810766,,SH9KB9522600,NYKU4417795
TTNU4183361,CHICAGO EXPRESS,81,CHI1150196-CHI7810770,,XMNV18252400,TTNU4183361
DRYU4292140,CHICAGO EXPRESS,81,CHI1150196-CHI7810778,,XMNV19275300,DRYU4292140
TCNU8245617,YANTIAN EXPRESS,108,CHI1153845-CHI5504573,,LCBU21730900,TCNU8245617
TEMU7413212,SOFIA EXPRESS,52,CHI1150360-CHI7811503,,HKGV47306300,TEMU7413212
SEGU5838187,NYK FALCON,10,CHI1154009-CHI7829364,,HKGV54014400,SEGU5838187
TLLU6095231,BUDAPEST BRIDGE,68,CHI1154011-CHI7831366,,LEHV07745700,TLLU6095231
TTNU4390266,YM UNICORN,36,CHI1154010-CHI7831364,,NB8BEY022600,TTNU4390266
TCNU6934237,NYK CRANE,13,CHI1154014-CHI7830578,,SGNV41171400,TCNU6934237